ENTREZ	SYMB
57674	RNF213
5822	PWP2
57488	ESYT2
219541	MED19
23074	UHRF1BP1L
92312	MEX3A
10994	ILVBL
51594	NBAS
23078	VWA8
55206	SBNO1
23019	CNOT1
285636	C5orf51
345630	FBLL1
23347	SMCHD1
196074	METTL15
317762	CCDC85C
100101267	POM121C
9883	POM121
284069	FAM171A2
4649	MYO9A
51463	GPR89B
653519	GPR89A
4666	NACA
102288414	C11orf98
23211	ZC3H4
3796	KIF2A
10212	DDX39A
9124	PDLIM1
11332	ACOT7
4641	MYO1C
10456	HAX1
9049	AIP
9567	GTPBP1
6814	STXBP3
421	ARVCF
8546	AP3B1
5717	PSMD11
5718	PSMD12
4221	MEN1
6829	SUPT5H
6874	TAF4
1192	CLIC1
8665	EIF3F
5293	PIK3CD
9197	SLC33A1
3843	IPO5
5442	POLRMT
10643	IGF2BP3
10059	DNM1L
8634	RTCA
5286	PIK3C2A
10640	EXOC5
10213	PSMD14
3839	KPNA3
23481	PES1
6386	SDCBP
10199	MPHOSPH10
10528	NOP56
1654	DDX3X
8653	DDX3Y
3840	KPNA4
5537	PPP6C
5287	PIK3C2B
8289	ARID1A
10190	TXNDC9
11316	COPE
8943	AP3D1
1855	DVL1
8215	DVL1P1
1856	DVL2
1105	CHD1
1106	CHD2
8085	KMT2D
5609	MAP2K7
10423	CDIPT
9141	PDCD5
10419	PRMT5
1111	CHEK1
10915	TCERG1
11128	POLR3A
5688	PSMA7
10067	SCAMP3
571	BACH1
8487	GEMIN2
6002	RGS12
100287932	TIMM23
100652748	TIMM23B
8520	HAT1
9246	UBE2L6
10627	MYL12A
103910	MYL12B
10398	MYL9
6790	AURKA
8934	RAB29
4659	PPP1R12A
2580	GAK
9987	HNRNPDL
7514	XPO1
9044	BTAF1
9639	ARHGEF10
23060	ZNF609
9919	SEC16A
23351	KHNYN
23350	U2SURP
9739	SETD1A
9881	TRANK1
9710	KIAA0355
5198	PFAS
23243	ANKRD28
10095	ARPC1B
10109	ARPC2
9533	POLR1C
10424	PGRMC2
10471	PFDN6
9277	WDR46
55922	NKRF
6836	SURF4
6314	ATXN7
10558	SPTLC1
8473	OGT
5373	PMM2
5496	PPM1G
3636	INPPL1
8664	EIF3D
8667	EIF3H
4931	NVL
10526	IPO8
8417	STX7
84629	TNRC18
10849	CD3EAP
4097	MAFG
7737	RNF113A
7403	KDM6A
1665	DHX15
9675	TTI1
23378	RRP8
26037	SIPA1L1
9128	PRPF4
26227	PHGDH
1783	DYNC1LI2
5709	PSMD3
9061	PAPSS1
9183	ZW10
9092	SART1
23262	PPIP5K2
6885	MAP3K7
9521	EEF1E1
8767	RIPK2
284403	WDR62
10236	HNRNPR
9129	PRPF3
9352	TXNL1
7165	TPD52L2
8672	EIF4G3
10465	PPIH
2037	EPB41L2
8562	DENR
11260	XPOT
10591	DNPH1
10469	TIMM44
5356	PLRG1
6001	RGS10
7756	ZNF207
9184	BUB3
81	ACTN4
27336	HTATSF1
164	AP1G1
9144	SYNGR2
6449	SGTA
2029	ENSA
788	SLC25A20
11051	NUDT21
6801	STRN
9136	RRP9
10270	AKAP8
2542	SLC37A4
3420	IDH3B
10749	KIF1C
5001	ORC5
5885	RAD21
8449	DHX16
